Full of life & exciting [Latitude],Full of life & exciting [Longitude],Full of life & exciting [# times visited],Full of life & exciting [Duration],Chaotic & restless [Latitude],Chaotic & restless [Longitude],Chaotic & restless [# times visited],Chaotic & restless [Duration],Calm & tranquil [Latitude],Calm & tranquil [Longitude],Calm & tranquil [# times visited],Calm & tranquil [Duration],Boring & lifeless [Latitude],Boring & lifeless [Longitude],Boring & lifeless [# times visited],Boring & lifeless [Duration]
1.3045558321097093,103.8319079328491,2,90.0,1.3050706827051513,103.83478326091308,1,20,1.31644027308291,103.81783169993896,2,120,1.3272949657133126,103.83688611278076,4,30
1.3418393209968325,103.8321225095703,1,90.0,1.3362224,103.8465151,1,30,1.3447621,103.8223506,2,90,1.3250014,103.8268611,1,15
1.3009558171337512,103.91222951534426,1,60.0,1.3360311680809145,103.78319344526368,4,30,1.279937652318358,103.82450314047544,4,40,1.281218126250608,103.82383236931156,4,10
1.313115209543043,103.88218325862424,4,15.0,1.3126218126406417,103.87971562633057,4,5,1.3014238220525485,103.87276334056396,4,15,1.3164724510955268,103.8966350007965,4,5
1.3324648717608445,103.8481513906433,4,60.0,1.3150673441581455,103.88259095439452,4,60,1.3011878485343893,103.91565722713013,4,60,1.311163073403386,103.86742038020628,1,30
1.3343740874355208,103.85031861552731,3,120.0,1.31365151041346,103.87915772685544,1,10,1.3421396460090926,103.83589905986328,2,180,1.2724632720464455,103.82628602275388,1,10
1.3566839130158848,103.77577466258543,2,240.0,1.3431952988870977,103.77523262565612,4,60,1.2743510808484413,103.81727380046384,1,120,1.3057442724679271,103.90476394661864,4,30
1.30391696104033,103.83196818694586,4,120.0,1.3207221478854234,103.82616146767276,4,1,1.321837841158109,103.82500835697527,1,1,1.3165490656901586,103.82650309014451,3,2
1.3769613496919588,103.95208995507814,4,10.0,1.3533217067486074,103.945041109787,4,15,1.381680669702662,103.95161788629152,1,30,1.3364177189073123,103.9606730239258,4,60
1.3426816468305975,103.92625491784668,1,60.0,1.352935576355942,103.9433137671814,2,75,1.384544434322254,103.94094269441224,1,60,1.3871722302741851,103.98856799768068,1,30
